Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00827757758571113,-0.0384721010257447,0.114789391580906,0,0,0,0.314090908651444,0.000240584294377349,5.34716372850393E-07,1.12900344118066E-06,0.000155854672232219,-1.41174523865224E-05,0.000284423438512345,0,0,0,0,0,0,package://urdf_right/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/base_link.STL,,弯曲齿条-1;骨架组件-2;手掌外观0910.stp-1;零件1-1;BF350-8KA-F-V4-四指-1;零件1-3;四代手接插件(6).step-3;航插-1;法兰franka-1;侧摆齿条-1;选准踢踢踢腿-1;零件1-2;027掌心力控模型-13;垫圈-1;027掌心力控模型-12;力控球轴承-球笼A-5;力控球轴承-球笼A-2;力控球轴承-球笼A-1;最新027力控版本-7;最新027力控版本-9;最新027力控版本-10;最新027力控版本-11;力控球轴承-球笼A-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thumb_1,-0.00178423179132727,0.000649410769092446,0.0048858931043441,0,0,0,0.00115518743162309,5.98911473694572E-08,-8.04324266712912E-09,-3.29346964287941E-09,4.07201940087006E-08,1.1987242259973E-09,6.18161684388651E-08,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_1.STL,,摆杆家那件-1,坐标系1,基准轴1,right_thumb_1_joint,revolute,-0.035227,-0.0908,-0.041956,0,0,0,base_link,0,0,1,1,100,0,3.14,,,,,,,,
right_thumb_2,0.0161097484383394,0.0103028022975375,-0.00905330600289518,0,0,0,0.00651726718776587,1.05608173707368E-06,-8.93990422826739E-08,-4.0717047155279E-10,1.12055666436187E-06,-3.12541187909307E-10,1.43604602983943E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_2.STL,,DMZ-3/拇指近端-1,坐标系2,基准轴2,right_thumb_2_joint,revolute,-0.0063016,0.011924,0.003,1.5708,0,2.7925,right_thumb_1,0,0,-1,1,100,0,3.14,,,,,,,,
right_thumb_3,0.00924505131715823,0.00481918438391222,-0.00753905171750578,0,0,0,0.00405874870443831,4.84948263631248E-07,-4.6215685121335E-08,-5.73077020148322E-11,3.97628031594582E-07,-2.99889919786187E-10,4.38765869483229E-07,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_3.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_3.STL,,DMZ-3/拇指中节-1,坐标系3,基准轴3,right_thumb_3_joint,revolute,0.038292,0.014535,-0.0015,0,0,0,right_thumb_2,0,0,-1,1,100,0,3.14,,,,,,,,
right_thumb_4,0.0136013574986204,0.0105235463357921,-0.00734356571247173,0,0,0,0.00913042649003504,7.90885781861325E-07,-2.49464441546171E-07,6.42303183060523E-10,6.16404813927616E-07,9.69366750167204E-10,9.25691764995085E-07,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_4.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_thumb_4.STL,,DMZ-3/拇指指-1,坐标系4,基准轴4,right_thumb_4_joint,revolute,0.018189,0.012576,-0.0002,0,0,0,right_thumb_3,0,0,-1,1,100,0,3.14,,,,,,,,
right_index_1,-0.00183546255523358,0.0123552521861834,-0.00664922294778368,0,0,0,0.00719999389753263,1.28371991025319E-06,4.21564829206075E-08,-4.10859703076842E-12,5.79478432222903E-07,6.39690407241903E-11,1.32925246769088E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_index_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_index_1.STL,,中节组合-2,坐标系5,基准轴5,right_index_1_joint,revolute,-0.047006,-0.11125,0.045444,1.6057,0,-1.5708,base_link,0,0,-1,1,100,0,3.14,,,,,,,,
right_index_2,0.000405081354201142,0.0257028143581744,-0.00609275623125877,0,0,0,0.0096859422185797,2.25513837942244E-06,4.11239564383381E-07,-3.94499739658712E-10,3.91290903748666E-07,2.79706871963247E-09,2.30200483771215E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_index_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_index_2.STL,,食指尖组合件-1,坐标系6,基准轴6,right_index_2_joint,revolute,-0.0016312,0.032734,-0.00055,0,0,0,right_index_1,0,0,-1,1,100,0,3.14,,,,,,,,
right_middle_1,-0.00229221489529488,0.0122787164691098,-0.00664923691414206,0,0,0,0.0071999945469965,1.27961146095209E-06,6.81307502326405E-08,-6.13869092494893E-12,5.83570383259162E-07,6.33401074036368E-11,1.32923656099557E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_middle_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_middle_1.STL,,中节组合-3,坐标系7,基准轴7,right_middle_1_joint,revolute,-0.025427,-0.11125,0.046044,1.5708,0,-1.5708,base_link,0,0,-1,1,100,0,3.14,,,,,,,,
right_middle_2,7.55635118059039E-05,0.0274472409648012,-0.00610051224365681,0,0,0,0.0104603374244707,2.75802690508112E-06,4.66354191476345E-07,-3.7332807411606E-12,4.22418749309736E-07,7.48556574992485E-11,2.8069463787114E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_middle_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_middle_2.STL,,中指指尖组合-1,坐标系8,基准轴8,right_middle_2_joint,revolute,-0.0028436,0.032651,-0.00055,0,0,0,right_middle_1,0,0,-1,1,100,0,3.14,,,,,,,,
right_ring_1,-0.00240481178777663,0.0122571709475593,-0.00664923625225445,0,0,0,0.00719998997814134,1.27830103769765E-06,7.45073064952644E-08,-6.73880804378546E-12,5.84879553082369E-07,6.33505850524704E-11,1.32923557625194E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_ring_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_ring_1.STL,,中节组合-5,坐标系9,基准轴9,right_ring_1_joint,revolute,-0.0037966,-0.11125,0.045878,1.5184,0,-1.5708,base_link,0,0,-1,1,100,0,3.14,,,,,,,,
right_ring_2,0.000666830906754845,0.0256973412492289,-0.0060927714564012,0,0,0,0.0096859390369724,2.26332196405867E-06,3.92172318180451E-07,-3.6571544042072E-10,3.83108005467821E-07,2.80158649618188E-09,2.30200501593561E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_ring_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_ring_2.STL,,食指尖组合件-2,坐标系10,基准轴10,right_ring_2_joint,revolute,-0.0031431,0.032624,-0.00055,0,0,0,right_ring_1,0,0,-1,1,100,0,3.14,,,,,,,,
right_little_1,-0.00316844591541322,0.0120823779446085,-0.00664923024026526,0,0,0,0.00719994987013216,1.26624415714453E-06,1.17303714016617E-07,-1.15327375315847E-11,5.96925804604496E-07,6.36110319317551E-11,1.32922857962207E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_little_1.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_little_1.STL,,中节组合-1,坐标系11,基准轴11,right_little_1_joint,revolute,0.017589,-0.11125,0.042696,1.4661,0,-1.5708,base_link,0,0,-1,1,100,0,3.14,,,,,,,,
right_little_2,0.0204417303421136,-0.00469494170410353,-0.00609999668427265,0,0,0,0.0075928240732547,2.31546812157118E-07,-7.27021381773956E-08,2.36649664862442E-11,1.27663957628266E-06,-7.58283070676227E-12,1.23909562166535E-06,0,0,0,0,0,0,package://urdf_right/meshes/right_little_2.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_right/meshes/right_little_2.STL,,小指指尖组件-1,坐标系12,基准轴12,right_little_2_joint,revolute,-0.005182,0.032363,-0.00055,0,0,1.5708,right_little_1,0,0,-1,1,100,0,3.14,,,,,,,,
